Flow Duration,Total Bwd packets,Fwd Packet Length Min,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Mean,Fwd IAT Std,Bwd IAT Min,Fwd PSH Flags,Bwd URG Flags,Bwd Header Length,Packet Length Mean,SYN Flag Count,CWR Flag Count,Fwd Bytes/Bulk Avg,Fwd Bulk Rate Avg,Subflow Fwd Bytes,Subflow Bwd Bytes,Bwd Init Win Bytes,Active Min,Label
1075,2,45.0,0.0,61.0,61.0,0.0,9.0,0,0,16,51.4,0,0,0,0,0,0,0,0.0,0
4997,4,114.0,0.0,52.0,50.0,2267.254727638692,3.0,0,0,32,85.55555555555556,0,0,0,0,0,0,0,0.0,0
361,2,0.0,0.0,0.0,0.0,0.0,4.0,0,0,64,0.0,0,0,0,0,0,0,7240,0.0,0
338,2,0.0,0.0,0.0,0.0,0.0,2.0,0,0,64,0.0,0,0,0,0,0,0,30408,0.0,0
323,2,0.0,0.0,0.0,0.0,0.0,1.0,0,0,64,0.0,0,0,0,0,0,0,14480,0.0,0
1058,2,45.0,0.0,61.0,61.0,0.0,9.0,0,0,16,51.4,0,0,0,0,0,0,0,0.0,0
25469,59,0.0,18.83709254785309,1300.0,675.4915254237287,652.3850060472637,1.0,0,0,1896,341.86440677966107,4,0,0,0,0,0,14480,0.0,0
247597,3,0.0,14.975535605335343,0.0,0.0,64111.76663842606,3.0,0,0,76,5.8,4,0,0,0,0,0,16383,0.0,1
3764929,9,0.0,0.0,1448.0,910.2222222222222,1576407.17020372,2.0,0,0,296,512.0,4,0,0,0,0,8192,5792,0.0,0
3469,7,0.0,162.1489027612172,148.0,42.285714285714285,286.1174583977706,6.0,0,0,232,65.99999999999999,4,0,0,0,0,0,7240,0.0,0
78982,2,0.0,0.0,0.0,0.0,29795.358438857555,7.0,0,0,40,0.0,0,0,0,0,0,0,16383,0.0,1
362,2,0.0,0.0,0.0,0.0,0.0,2.0,0,0,64,0.0,0,0,0,0,0,0,8688,0.0,0
70495,2,0.0,0.0,0.0,0.0,19615.84921689601,1.0,0,0,40,0.0,0,0,0,0,0,0,16383,0.0,1
1039551,13,0.0,272.8747247082723,87.0,39.846153846153854,83623.60149855868,2.0,0,0,276,81.0,4,0,0,0,0,0,16383,0.0,1
372,2,0.0,0.0,0.0,0.0,0.0,2.0,0,0,64,0.0,0,0,0,0,0,0,30408,0.0,0
775445,123,0.0,27.0814519924026,1448.0,71.17073170731705,12486.917335427634,1.0,0,0,3944,41.877049180327866,4,0,0,0,0,0,47784,0.0,0
320,2,0.0,0.0,0.0,0.0,0.0,4.0,0,0,64,0.0,0,0,0,0,0,0,14480,0.0,0
155089,51,0.0,6.658307684726639,54.0,18.15686274509805,11157.27013165928,1.0,0,0,1640,11.254901960784316,4,0,0,0,0,0,20272,0.0,0
312,2,0.0,0.0,0.0,0.0,0.0,4.0,0,0,64,0.0,0,0,0,0,0,0,14480,0.0,0
427170,21,0.0,81.21193845345906,433.0,50.095238095238095,32484.686720656264,1.0,0,0,680,44.23809523809524,4,0,0,0,0,0,13032,0.0,0
393807,3,0.0,139.7589762003551,0.0,0.0,68031.76929305056,1.0,0,0,76,58.0,4,0,0,0,0,0,16383,0.0,1
85382,39,0.0,724.8475701828626,287.0,30.461538461538467,8198.888211038668,1.0,0,0,1256,400.9777777777778,4,0,0,0,0,0,30408,0.0,0
87,2,0.0,0.0,0.0,0.0,0.0,4.0,0,0,64,0.0,0,0,0,0,0,0,13032,0.0,0
333,2,0.0,0.0,0.0,0.0,0.0,1.0,0,0,64,0.0,0,0,0,0,0,0,5792,0.0,0
308,2,0.0,0.0,0.0,0.0,0.0,2.0,0,0,64,0.0,0,0,0,0,0,0,5792,0.0,0
25160,63,0.0,17.829381154819387,1300.0,759.9047619047618,550.2900869372633,1.0,0,0,2024,383.6825396825395,4,0,0,0,0,0,14480,0.0,0
309,2,0.0,0.0,0.0,0.0,0.0,2.0,0,0,64,0.0,0,0,0,0,0,0,5792,0.0,0
9077,9,0.0,0.0,1448.0,910.2222222222222,3037.962754873733,4.0,0,0,296,512.0,4,0,0,0,0,0,5792,0.0,0
221950,9,0.0,0.0,1448.0,910.2222222222222,20987.252326114536,4.0,0,0,296,512.0,4,0,0,0,0,0,5792,0.0,0
167425,71,0.0,17.20526450713744,1300.0,820.5070422535214,3799.012969450396,1.0,0,0,2280,407.93055555555526,4,0,0,0,0,0,14480,0.0,0
