Flow Duration,Total Length of Fwd Packet,Fwd Packet Length Max,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Std,Flow Bytes/s,Flow IAT Min,Fwd IAT Total,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Packet Length Min,Packet Length Max,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
1075,90.0,45.0,45.0,61.0,61.0,0.0,197209.3023255814,9.0,11.0,0.0,11.0,11.0,9.0,0.0,9.0,9.0,0,0,45.0,61.0,76.8,0,0,0,0,0,0,64.25,45.0,61.0,0,0,0,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4997,456.0,114.0,114.0,52.0,48.0,2.309401076758502,131278.76726035622,1.0,3933.0,2267.254727638692,3929.0,1.0,3529.0,2027.9443614984443,3518.0,3.0,0,0,48.0,114.0,1139.7777777777778,0,0,0,0,0,0,96.25,114.0,50.0,0,0,0,0,0,0,0,0,3,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0,0,0,0.0,0.0,0.0,1,0,0,3,0,0,0.0,0.0,0.0,0,0,0,0,0,0,7240,7240,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0,0,0.0,0.0,0.0,1,0,0,3,0,0,0.0,0.0,0.0,0,0,0,0,0,0,15928,30408,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0,0,0.0,0.0,0.0,1,0,0,3,0,0,0.0,0.0,0.0,0,0,0,0,0,0,30408,14480,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1058,90.0,45.0,45.0,61.0,61.0,0.0,200378.0718336484,4.0,4.0,0.0,4.0,4.0,9.0,0.0,9.0,9.0,0,0,45.0,61.0,76.8,0,0,0,0,0,0,64.25,45.0,61.0,0,0,0,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
25469,486.0,66.0,8.37931034482759,1300.0,0.0,641.0348684066649,1583886.293140681,1.0,24452.0,652.3850060472637,2996.0,1.0,24922.0,682.2804436232627,3072.0,1.0,0,0,0.0,1300.0,316138.6139359699,1,4,0,115,0,0,344.7863247863248,8.379310344827585,675.4915254237288,0,0,0,0,0,0,5792,14480,12,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
247597,58.0,29.0,9.666666666666666,0.0,0.0,0.0,234.2516266352177,3.0,194605.0,64111.76663842606,147709.0,3.0,188862.0,133541.35826776663,188859.0,3.0,0,0,0.0,29.0,149.5111111111111,1,4,0,7,0,0,6.444444444444445,9.666666666666666,0.0,0,0,0,0,0,0,16383,16383,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3764929,0.0,0.0,0.0,1448.0,0.0,690.1336424522749,2175.8710456425606,1.0,3526016.0,1576407.17020372,3525166.0,1.0,3764224.0,1236612.1518384705,3524188.0,2.0,0,0,0.0,1448.0,471500.8000000001,1,4,0,13,0,0,546.1333333333333,0.0,910.2222222222222,0,0,6,0,9,8192,5792,5792,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3469,628.0,314.0,104.66666666666666,148.0,0.0,72.21660539819146,266359.1813202652,3.0,934.0,286.1174583977706,657.0,3.0,2944.0,892.4186610928004,2285.0,6.0,0,0,0.0,314.0,13847.384615384612,1,4,0,11,0,0,71.07692307692308,104.66666666666669,42.285714285714285,0,0,0,0,0,0,5792,7240,2,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
