Flow Duration,Total Fwd Packet,Total Length of Fwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Bwd Packet Length Mean,Flow Bytes/s,Flow IAT Mean,Flow IAT Max,Flow IAT Min,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Max,Bwd PSH Flags,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Std,RST Flag Count,PSH Flag Count,CWR Flag Count,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Bwd Bytes/Bulk Avg,Bwd Bulk Rate Avg,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Active Mean,Active Std,Active Max,Idle Std,Idle Min,Label
1075,2,90,45,45,45.0,61.0,197209.3023,358.3333333,1055,9,0.0,11,11,9,0,1860.465116,1860.465116,45,61,8.76356092,0,0,0,61.0,0,212,197209,0,0,0,0.0,0.0,0,0.0,0,0
4997,4,456,114,114,114.0,50.0,131278.7673,713.8571429,2459,1,2267.254728,3929,1,3518,0,800.4802882,800.4802882,48,114,33.76059504,0,0,0,50.0,0,656,131278,0,0,0,0.0,0.0,0,0.0,0,0
361,1,0,0,0,0.0,0.0,0.0,180.5,357,4,0.0,0,0,4,0,2770.083102,5540.166205,0,0,0.0,0,0,0,0.0,0,0,0,0,0,7240,0.0,0.0,0,0.0,0,0
338,1,0,0,0,0.0,0.0,0.0,169.0,336,2,0.0,0,0,2,0,2958.579882,5917.159763,0,0,0.0,0,0,0,0.0,0,0,0,0,0,15928,0.0,0.0,0,0.0,0,0
323,1,0,0,0,0.0,0.0,0.0,161.5,322,1,0.0,0,0,1,0,3095.975232,6191.950464,0,0,0.0,0,0,0,0.0,0,0,0,0,0,30408,0.0,0.0,0,0.0,0,0
1058,2,90,45,45,45.0,61.0,200378.0718,352.6666667,1045,4,0.0,4,4,9,0,1890.359168,1890.359168,45,61,8.76356092,0,0,0,61.0,0,212,200378,0,0,0,0.0,0.0,0,0.0,0,0
25469,58,486,66,0,8.379310345,675.4915254,1583886.293,219.5603448,2710,1,652.385006,2996,1,3072,0,2277.27826,2316.541678,0,1300,562.2620509,0,58,0,675.4915254,0,40340,1668527,0,0,5792,0.0,0.0,0,0.0,0,0
247597,6,58,29,0,9.666666667,0.0,234.2516266,30949.625,88977,3,64111.76664,147709,3,188859,0,24.23292689,12.11646345,0,29,12.22747362,0,0,0,0.0,0,0,0,0,0,16383,0.0,0.0,0,0.0,0,4
3764929,6,0,0,0,0.0,910.2222222,2175.871046,268923.5,3524049,1,1576407.17,3525166,1,3524188,0,1.593655551,2.390483327,0,1448,686.6591585,0,4,0,910.2222222,0,8192,34563,9,8192,5792,0.0,0.0,0,0.0,0,0
3469,6,628,314,0,104.6666667,42.28571429,266359.1813,289.0833333,1882,3,286.1174584,657,3,2285,0,1729.605074,2017.872586,0,314,117.6749107,0,4,0,42.28571429,0,924,410849,0,0,5792,0.0,0.0,0,0.0,0,0
78982,3,0,0,0,0.0,0.0,0.0,19745.5,42145,7,29795.35844,42145,8,7,0,37.98333798,25.32222532,0,0,0.0,0,0,0,0.0,0,0,0,0,0,16383,0.0,0.0,0,0.0,0,5
362,1,0,0,0,0.0,0.0,0.0,181.0,360,2,0.0,0,0,2,0,2762.430939,5524.861878,0,0,0.0,0,0,0,0.0,0,0,0,0,0,11584,0.0,0.0,0,0.0,0,0
70495,3,0,0,0,0.0,0.0,0.0,17623.75,42741,1,19615.84922,27747,6,1,0,42.55620966,28.37080644,0,0,0.0,0,0,0,0.0,0,0,0,0,0,16383,0.0,0.0,0,0.0,0,2
1039551,14,1750,768,0,125.0,39.84615385,2181.711143,39982.73077,166733,2,83623.6015,228781,2,247207,0,13.46735273,12.50539897,0,768,195.6220846,0,10,0,39.84615385,0,2268,3148,0,0,16383,0.0,0.0,0,0.0,0,3
372,1,0,0,0,0.0,0.0,0.0,186.0,370,2,0.0,0,0,2,0,2688.172043,5376.344086,0,0,0.0,0,0,0,0.0,0,0,0,0,0,15928,0.0,0.0,0,0.0,0,0
775445,120,1464,175,0,12.2,71.17073171,13176.95001,3204.318182,117590,1,12486.91734,117590,1,118507,0,154.7498533,158.6185996,0,1448,148.4481358,0,118,0,71.17073171,0,10218,13205,0,0,5792,0.0,0.0,0,0.0,0,0
320,1,0,0,0,0.0,0.0,0.0,160.0,316,4,0.0,0,0,4,0,3125.0,6250.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,14480,0.0,0.0,0,0.0,0,0
155089,50,222,22,0,4.44,18.15686275,7402.201317,1550.89,70333,0,11157.27013,70534,0,100986,0,322.3955277,328.8434383,0,54,16.50183685,0,48,0,18.15686275,0,1148,7467,0,0,5792,0.0,0.0,0,0.0,0,0
312,1,0,0,0,0.0,0.0,0.0,156.0,308,4,0.0,0,0,4,0,3205.128205,6410.25641,0,0,0.0,0,0,0,0.0,0,0,0,0,0,27512,0.0,0.0,0,0.0,0,0
427170,20,806,270,0,40.3,50.0952381,4349.556383,10679.25,100714,1,32484.68672,101596,1,100714,0,46.81976731,49.16075567,0,433,105.4342494,0,20,0,50.0952381,0,1858,4666,0,0,5792,0.0,0.0,0,0.0,0,0
393807,8,696,312,0,87.0,0.0,1767.363201,39380.7,132123,1,68031.76929,149520,6,328962,0,20.31451955,7.617944831,0,312,119.4350337,0,0,0,0.0,0,696,70659,0,0,16383,0.0,0.0,0,0.0,0,4
85382,50,34900,1448,0,698.0,30.46153846,422665.1988,970.25,56528,1,8198.888211,57581,1,56528,0,585.603523,456.7707479,0,1448,634.5289853,0,36,0,30.46153846,0,36088,431365,0,0,5792,0.0,0.0,0,0.0,0,0
87,1,0,0,0,0.0,0.0,0.0,43.5,83,4,0.0,0,0,4,0,11494.25287,22988.50575,0,0,0.0,0,0,0,0.0,0,0,0,0,0,17376,0.0,0.0,0,0.0,0,0
333,1,0,0,0,0.0,0.0,0.0,166.5,332,1,0.0,0,0,1,0,3003.003003,6006.006006,0,0,0.0,0,0,0,0.0,0,0,0,0,0,7240,0.0,0.0,0,0.0,0,0
308,1,0,0,0,0.0,0.0,0.0,154.0,306,2,0.0,0,0,2,0,3246.753247,6493.506494,0,0,0.0,0,0,0,0.0,0,0,0,0,0,10136,0.0,0.0,0,0.0,0,0
25160,62,470,66,0,7.580645161,759.9047619,1921462.639,202.9032258,1805,0,550.2900869,2111,0,2075,0,2464.228935,2503.974563,0,1300,582.7414336,0,62,0,759.9047619,0,48344,2092813,0,0,5792,0.0,0.0,0,0.0,0,0
309,1,0,0,0,0.0,0.0,0.0,154.5,307,2,0.0,0,0,2,0,3236.245955,6472.491909,0,0,0.0,0,0,0,0.0,0,0,0,0,0,7240,0.0,0.0,0,0.0,0,0
9077,6,0,0,0,0.0,910.2222222,902500.8263,648.3571429,4223,3,3037.962755,7020,3,5362,0,661.0113474,991.517021,0,1448,686.6591585,0,4,0,910.2222222,0,8192,2761038,0,0,5792,0.0,0.0,0,0.0,0,0
221950,6,0,0,0,0.0,910.2222222,36909.21379,15853.57143,173864,2,20987.25233,47089,2,174006,0,27.03311557,40.54967335,0,1448,686.6591585,0,4,0,910.2222222,0,8192,46809,0,0,5792,0.0,0.0,0,0.0,0,0
167425,72,486,66,0,6.75,820.5070423,350855.607,1179.049296,22772,0,3799.012969,23078,0,23040,0,430.043303,424.0704793,0,1300,583.773721,0,70,0,820.5070423,0,58742,366727,0,0,5792,0.0,0.0,0,0.0,0,0
22479,40,454,66,0,11.35,551.902439,1026825.037,280.9875,4741,1,953.9705992,5074,1,4974,0,1779.438587,1823.924552,0,1300,515.1660464,0,40,0,551.902439,0,23082,1112600,0,0,5792,0.0,0.0,0,0.0,0,0
1098,2,76,38,38,38.0,54.0,167577.4135,366.0,1081,8,0.0,9,9,8,0,1821.493625,1821.493625,38,54,8.76356092,0,0,0,54.0,0,184,167577,0,0,0,0.0,0.0,0,0.0,0,0
4609,4,456,114,114,114.0,48.0,140594.489,658.4285714,1998,3,2032.850544,3525,3,3070,0,867.8672163,867.8672163,48,114,34.78505426,0,0,0,48.0,0,648,140594,0,0,0,0.0,0.0,0,0.0,0,0
983,2,90,45,45,45.0,61.0,215666.3276,327.6666667,967,7,0.0,9,9,7,0,2034.587996,2034.587996,45,61,8.76356092,0,0,0,61.0,0,212,215666,0,0,0,0.0,0.0,0,0.0,0,0
1082,2,76,38,38,38.0,54.0,170055.4529,360.6666667,1070,6,0.0,6,6,6,0,1848.428835,1848.428835,38,54,8.76356092,0,0,0,54.0,0,184,170055,0,0,0,0.0,0.0,0,0.0,0,0
82432,54,470,66,0,8.703703704,710.1090909,479498.2531,763.2592593,6761,1,2247.82647,7071,1,6990,0,655.0854037,667.2166149,0,1300,561.2691076,0,54,0,710.1090909,0,39526,499324,0,0,5792,0.0,0.0,0,0.0,0,0
367,1,0,0,0,0.0,0.0,0.0,183.5,364,3,0.0,0,0,3,0,2724.79564,5449.591281,0,0,0.0,0,0,0,0.0,0,0,0,0,0,14480,0.0,0.0,0,0.0,0,0
1033,2,74,37,37,37.0,53.0,174249.758,344.3333333,1019,5,0.0,9,9,5,0,1936.108422,1936.108422,37,53,8.76356092,0,0,0,53.0,0,180,174249,0,0,0,0.0,0.0,0,0.0,0,0
322,1,0,0,0,0.0,0.0,0.0,161.0,319,3,0.0,0,0,3,0,3105.590062,6211.180124,0,0,0.0,0,0,0,0.0,0,0,0,0,0,26064,0.0,0.0,0,0.0,0,0
2465,4,0,0,0,0.0,317.6,644219.0669,308.125,1497,4,382.7832285,667,4,1643,0,1622.718053,2028.397566,0,794,334.779795,0,2,0,317.6,0,0,0,0,0,5792,0.0,0.0,0,0.0,0,0
273317,6,508,254,0,84.66666667,0.0,1858.647651,34164.625,94044,7,74570.31635,172220,7,195131,0,21.95253131,10.97626565,0,254,107.0958034,0,0,0,0.0,0,0,0,0,0,16383,0.0,0.0,0,0.0,0,3
6830,10,432,163,0,43.2,180.8888889,301610.5417,379.4444444,3034,3,565.1095027,1656,3,3168,0,1464.128843,1317.715959,0,776,235.1904044,0,12,0,180.8888889,0,2060,377842,0,0,5792,0.0,0.0,0,0.0,0,0
30187,50,34490,1448,0,689.8,30.46153846,1181899.493,343.0340909,3990,1,885.2702353,3990,1,6416,0,1656.342134,1291.946865,0,1448,627.9036815,0,36,0,30.46153846,0,35678,1252474,0,0,5792,0.0,0.0,0,0.0,0,0
2584,4,0,0,0,0.0,299.6,579721.3622,323.0,1575,3,389.7114317,678,3,1711,0,1547.987616,1934.98452,0,749,315.806129,0,2,0,299.6,0,0,0,0,0,5792,0.0,0.0,0,0.0,0,0
1023,2,90,45,45,45.0,61.0,207233.6266,341.0,1011,4,0.0,4,4,8,0,1955.034213,1955.034213,45,61,8.76356092,0,0,0,61.0,0,212,207233,0,0,0,0.0,0.0,0,0.0,0,0
3386,6,614,307,0,102.3333333,42.28571429,268753.6917,282.1666667,1744,3,275.3525014,631,3,2136,0,1772.002363,2067.33609,0,307,115.4109713,0,4,0,42.28571429,0,910,423847,0,0,5792,0.0,0.0,0,0.0,0,0
43828,3,0,0,0,0.0,0.0,0.0,10957.0,22746,3,14900.8612,21076,3,3,0,68.44939308,45.63292872,0,0,0.0,0,0,0,0.0,0,0,0,0,0,16383,0.0,0.0,0,0.0,0,0
351,1,0,0,0,0.0,0.0,0.0,175.5,349,2,0.0,0,0,2,0,2849.002849,5698.005698,0,0,0.0,0,0,0,0.0,0,0,0,0,0,15928,0.0,0.0,0,0.0,0,0
325,1,0,0,0,0.0,0.0,0.0,162.5,321,4,0.0,0,0,4,0,3076.923077,6153.846154,0,0,0.0,0,0,0,0.0,0,0,0,0,0,24616,0.0,0.0,0,0.0,0,0
75719,3,0,0,0,0.0,0.0,0.0,18929.75,75102,4,53098.76952,75102,9,4,0,39.62017459,26.41344973,0,0,0.0,0,0,0,0.0,0,0,0,0,0,16383,0.0,0.0,0,0.0,0,0
226349,22,3040,832,0,138.1818182,72.0,20110.53727,5389.261905,84505,1,12279.24196,35336,1,84505,0,97.19503952,92.77708318,0,832,177.5714012,0,24,0,72.0,0,4552,20231,0,0,5792,0.0,0.0,0,0.0,0,0
317457,88,486,66,0,5.522727273,903.0561798,254705.3617,1803.732955,25700,1,5836.43817,25962,1,25976,0,277.2028968,280.3529297,0,1300,607.5497241,0,88,0,903.0561798,0,80858,259822,0,0,5792,0.0,0.0,0,0.0,0,0
529668,7,384,192,0,54.85714286,565.2727273,12464.41167,31156.94118,254138,1,140892.7237,357639,1,367418,0,13.21582576,20.7677262,0,1460,595.2379887,0,2,0,565.2727273,0,6602,20476,0,0,16383,0.0,0.0,0,0.0,0,4
915169,50,222,22,0,4.44,18.11764706,1252.227731,9151.69,188444,1,42643.51125,198746,4,275978,0,54.63471774,55.7274121,0,54,16.46549135,0,48,0,18.11764706,0,1146,1280,0,0,5792,0.0,0.0,0,0.0,0,0
100543,3,0,0,0,0.0,0.0,0.0,25135.75,64372,3,45515.04929,64372,4,3,0,29.83797977,19.89198651,0,0,0.0,0,0,0,0.0,0,0,0,0,0,16383,0.0,0.0,0,0.0,0,5
29355,64,486,66,0,7.59375,837.5076923,1871027.082,229.3359375,1842,1,644.8308181,2544,1,2080,0,2180.207801,2214.273548,0,1300,599.6072648,0,64,0,837.5076923,0,54924,1961291,0,0,5792,0.0,0.0,0,0.0,0,0
5311,22,902,270,0,41.0,57.52380952,397288.6462,126.452381,626,1,370.0339045,919,1,848,0,4142.346074,3954.057616,0,381,99.26215104,0,20,0,57.52380952,0,2110,568426,0,0,5792,0.0,0.0,0,0.0,0,0
31264,3,0,0,0,0.0,0.0,0.0,7816.0,30383,1,21481.19691,30383,4,1,0,95.95701126,63.97134084,0,0,0.0,0,0,0,0.0,0,0,0,0,0,16383,0.0,0.0,0,0.0,0,5
