Flow Duration,Total Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Min,Bwd Packet Length Std,Flow Bytes/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Mean,Bwd IAT Min,Bwd PSH Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Mean,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ECE Flag Count,Down/Up Ratio,Fwd Segment Size Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Active Mean,Active Std,Active Max,Idle Std,Idle Min,Label
1075,2,122,45,45.0,0.0,61,0.0,197209.3023,358.3333333,603.33186,1055,9,11,11.0,0.0,11,11,9.0,9,0,0,16,16,1860.465116,1860.465116,51.4,76.8,0,0,0,0,0,1,45.0,0,0,0,0,0,1,0.0,0.0,0,0.0,0,0
4997,4,200,114,114.0,0.0,48,2.309401077,131278.7673,713.8571429,978.6763899,2459,1,3933,1311.0,2267.254728,3929,1,1176.333333,3,0,0,32,32,800.4802882,800.4802882,85.55555556,1139.777778,0,0,0,0,0,1,114.0,0,0,0,0,0,3,0.0,0.0,0,0.0,0,0
361,1,0,0,0.0,0.0,0,0.0,0.0,180.5,249.6086938,357,4,0,0.0,0.0,0,0,4.0,4,0,0,32,64,2770.083102,5540.166205,0.0,0.0,1,0,0,0,0,2,0.0,0,0,0,7240,7240,0,0.0,0.0,0,0.0,0,0
338,1,0,0,0.0,0.0,0,0.0,0.0,169.0,236.1736649,336,2,0,0.0,0.0,0,0,2.0,2,0,0,32,64,2958.579882,5917.159763,0.0,0.0,1,0,0,0,0,2,0.0,0,0,0,15928,30408,0,0.0,0.0,0,0.0,0,0
323,1,0,0,0.0,0.0,0,0.0,0.0,161.5,226.9812768,322,1,0,0.0,0.0,0,0,1.0,1,0,0,32,64,3095.975232,6191.950464,0.0,0.0,1,0,0,0,0,2,0.0,0,0,0,30408,14480,0,0.0,0.0,0,0.0,0,0
1058,2,122,45,45.0,0.0,61,0.0,200378.0718,352.6666667,599.5834665,1045,4,4,4.0,0.0,4,4,9.0,9,0,0,16,16,1890.359168,1890.359168,51.4,76.8,0,0,0,0,0,1,45.0,0,0,0,0,0,1,0.0,0.0,0,0.0,0,0
25469,58,39854,0,8.379310345,18.83709255,0,641.0348684,1583886.293,219.5603448,412.2398898,2710,1,24452,428.9824561,652.385006,2996,1,429.6896552,1,0,0,1864,1896,2277.27826,2316.541678,341.8644068,316138.6139,1,4,0,58,0,1,8.379310345,0,0,0,5792,14480,12,0.0,0.0,0,0.0,0,0
247597,6,0,0,9.666666667,14.97553561,0,0.0,234.2516266,30949.625,35271.73444,88977,3,194605,38921.0,64111.76664,147709,3,94431.0,3,0,0,152,76,24.23292689,12.11646345,5.8,149.5111111,1,4,0,0,0,0,9.666666667,0,0,0,16383,16383,2,0.0,0.0,0,0.0,0,4
3764929,6,8192,0,0.0,0.0,0,690.1336425,2175.871046,268923.5,938988.5849,3524049,1,3526016,705203.2,1576407.17,3525166,1,470528.0,2,0,0,200,296,1.593655551,2.390483327,512.0,471500.8,1,4,0,4,0,1,0.0,6,0,9,5792,5792,0,0.0,0.0,0,0.0,0,0
3469,6,296,0,104.6666667,162.1489028,0,72.2166054,266359.1813,289.0833333,531.0609378,1882,3,934,186.8,286.1174584,657,3,490.6666667,6,0,0,200,232,1729.605074,2017.872586,66.0,13847.38462,1,4,0,4,0,1,104.6666667,0,0,0,5792,7240,2,0.0,0.0,0,0.0,0,0
78982,3,0,0,0.0,0.0,0,0.0,0.0,19745.5,22894.8447,42145,7,42153,21076.5,29795.35844,42145,8,7.0,7,0,0,60,40,37.98333798,25.32222532,0.0,0.0,1,0,0,0,0,0,0.0,0,0,0,16383,16383,0,0.0,0.0,0,0.0,0,5
362,1,0,0,0.0,0.0,0,0.0,0.0,181.0,253.1442277,360,2,0,0.0,0.0,0,0,2.0,2,0,0,32,64,2762.430939,5524.861878,0.0,0.0,1,0,0,0,0,2,0.0,0,0,0,11584,8688,0,0.0,0.0,0,0.0,0,0
70495,3,0,0,0.0,0.0,0,0.0,0.0,17623.75,21246.98309,42741,1,27753,13876.5,19615.84922,27747,6,1.0,1,0,0,60,40,42.55620966,28.37080644,0.0,0.0,1,0,0,0,0,0,0.0,0,0,0,16383,16383,0,0.0,0.0,0,0.0,0,2
1039551,14,518,0,125.0,272.8747247,0,28.23368601,2181.711143,39982.73077,49049.66428,166733,2,900502,69269.38462,83623.6015,228781,2,82704.08333,2,0,0,312,276,13.46735273,12.50539897,81.0,38268.0,1,4,0,10,0,0,125.0,0,0,0,16383,16383,10,0.0,0.0,0,0.0,0,3
372,1,0,0,0.0,0.0,0,0.0,0.0,186.0,260.2152955,370,2,0,0.0,0.0,0,0,2.0,2,0,0,32,64,2688.172043,5376.344086,0.0,0.0,1,0,0,0,0,2,0.0,0,0,0,15928,30408,0,0.0,0.0,0,0.0,0,0
775445,120,8754,0,12.2,27.08145199,0,203.5482263,13176.95001,3204.318182,9189.626644,117590,1,763839,6418.815126,12486.91734,117590,1,6351.606557,1,0,0,3848,3944,154.7498533,158.6185996,41.87704918,22036.84902,1,4,0,118,0,1,12.2,0,0,0,5792,47784,58,0.0,0.0,0,0.0,0,0
320,1,0,0,0.0,0.0,0,0.0,0.0,160.0,220.6173157,316,4,0,0.0,0.0,0,0,4.0,4,0,0,32,64,3125.0,6250.0,0.0,0.0,1,0,0,0,0,2,0.0,0,0,0,14480,14480,0,0.0,0.0,0,0.0,0,0
155089,50,926,0,4.44,6.658307685,0,20.22510573,7402.201317,1550.89,7874.396096,70333,0,144707,2953.204082,11157.27013,70534,0,3092.36,1,0,0,1608,1640,322.3955277,328.8434383,11.25490196,272.3106193,1,4,0,48,0,1,4.44,0,0,0,5792,20272,20,0.0,0.0,0,0.0,0,0
312,1,0,0,0.0,0.0,0,0.0,0.0,156.0,214.9604615,308,4,0,0.0,0.0,0,0,4.0,4,0,0,32,64,3205.128205,6410.25641,0.0,0.0,1,0,0,0,0,2,0.0,0,0,0,27512,14480,0,0.0,0.0,0,0.0,0,0
427170,20,1052,0,40.3,81.21193845,0,127.9593313,4349.556383,10679.25,24394.2359,100714,1,396030,20843.68421,32484.68672,101596,1,21330.0,1,0,0,648,680,46.81976731,49.16075567,44.23809524,11116.38095,1,4,0,20,0,1,40.3,0,0,0,5792,13032,10,0.0,0.0,0,0.0,0,0
393807,8,0,0,87.0,139.7589762,0,0.0,1767.363201,39380.7,51515.80981,132123,1,291507,41643.85714,68031.76929,149520,6,164481.5,1,0,0,192,76,20.31451955,7.617944831,58.0,14264.72727,1,4,0,0,0,0,87.0,0,0,0,16383,16383,4,0.0,0.0,0,0.0,0,4
85382,50,1188,0,698.0,724.8475702,0,65.51570569,422665.1988,970.25,6034.499361,56528,1,80813,1649.244898,8198.888211,57581,1,2232.605263,1,0,0,1608,1256,585.603523,456.7707479,400.9777778,402627.0332,1,4,0,36,0,0,698.0,0,0,0,5792,30408,34,0.0,0.0,0,0.0,0,0
87,1,0,0,0.0,0.0,0,0.0,0.0,43.5,55.86143571,83,4,0,0.0,0.0,0,0,4.0,4,0,0,32,64,11494.25287,22988.50575,0.0,0.0,1,0,0,0,0,2,0.0,0,0,0,17376,13032,0,0.0,0.0,0,0.0,0,0
