Flow Duration,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Flow Bytes/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Min,Fwd PSH Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Variance,SYN Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,Down/Up Ratio,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Fwd Act Data Pkts,Fwd Seg Size Min,Active Max,Idle Std,Idle Max,Idle Min,Label
1075,45,45,45.0,61,61,61.0,197209.3023,358.3333333,603.33186,1055,9,11,11.0,11,11,9,9.0,0.0,9,0,0,16,16,1860.465116,1860.465116,76.8,0,0,0,0,0,1,61.0,0,0,197209,1,8,0,0.0,0,0,0
4997,114,114,114.0,52,48,50.0,131278.7673,713.8571429,978.6763899,2459,1,3933,1311.0,3929,1,3529,1176.333333,2027.944361,3,0,0,32,32,800.4802882,800.4802882,1139.777778,0,0,0,0,0,1,50.0,0,0,131278,3,8,0,0.0,0,0,0
361,0,0,0.0,0,0,0.0,0.0,180.5,249.6086938,357,4,0,0.0,0,0,4,4.0,0.0,4,0,0,32,64,2770.083102,5540.166205,0.0,0,0,3,0,0,2,0.0,0,0,0,0,32,0,0.0,0,0,0
338,0,0,0.0,0,0,0.0,0.0,169.0,236.1736649,336,2,0,0.0,0,0,2,2.0,0.0,2,0,0,32,64,2958.579882,5917.159763,0.0,0,0,3,0,0,2,0.0,0,0,0,0,32,0,0.0,0,0,0
323,0,0,0.0,0,0,0.0,0.0,161.5,226.9812768,322,1,0,0.0,0,0,1,1.0,0.0,1,0,0,32,64,3095.975232,6191.950464,0.0,0,0,3,0,0,2,0.0,0,0,0,0,32,0,0.0,0,0,0
1058,45,45,45.0,61,61,61.0,200378.0718,352.6666667,599.5834665,1045,4,4,4.0,4,4,9,9.0,0.0,9,0,0,16,16,1890.359168,1890.359168,76.8,0,0,0,0,0,1,61.0,0,0,200378,1,8,0,0.0,0,0,0
25469,66,0,8.379310345,1300,0,675.4915254,1583886.293,219.5603448,412.2398898,2710,1,24452,428.9824561,2996,1,24922,429.6896552,682.2804436,1,0,0,1864,1896,2277.27826,2316.541678,316138.6139,4,58,115,0,0,1,675.4915254,0,0,1668527,12,32,0,0.0,0,0,0
247597,29,0,9.666666667,0,0,0.0,234.2516266,30949.625,35271.73444,88977,3,194605,38921.0,147709,3,188862,94431.0,133541.3583,3,0,0,152,76,24.23292689,12.11646345,149.5111111,4,0,7,0,0,0,0.0,0,0,0,2,20,0,0.0,0,0,4
3764929,0,0,0.0,1448,0,910.2222222,2175.871046,268923.5,938988.5849,3524049,1,3526016,705203.2,3525166,1,3764224,470528.0,1236612.152,2,0,0,200,296,1.593655551,2.390483327,471500.8,4,4,13,0,0,1,910.2222222,0,0,34563,0,32,0,0.0,0,0,0
3469,314,0,104.6666667,148,0,42.28571429,266359.1813,289.0833333,531.0609378,1882,3,934,186.8,657,3,2944,490.6666667,892.4186611,6,0,0,200,232,1729.605074,2017.872586,13847.38462,4,4,11,0,0,1,42.28571429,0,0,410849,2,32,0,0.0,0,0,0
