TotalLengthofFwdPacket,TotalLengthofBwdPacket,FwdPacketLengthMin,BwdPacketLengthMin,BwdPacketLengthMean,BwdPacketLengthStd,FlowBytess,FlowIATMax,FwdIATMin,BwdIATTotal,BwdIATMax,BwdIATMin,FwdURGFlags,FwdPacketss,BwdPacketss,PacketLengthMean,PacketLengthVariance,SYNFlagCount,RSTFlagCount,ECEFlagCount,DownUpRatio,FwdPacketBulkAvg,FwdBulkRateAvg,BwdBytesBulkAvg,BwdBulkRateAvg,SubflowBwdPackets,SubflowBwdBytes,BwdInitWinBytes,FwdActDataPkts,ActiveStd,ActiveMax,IdleMean,IdleStd,IdleMin,Label
90,122,45,61,61,0,197209.3023,1055,11,9,9,9,0,1860.465116,1860.465116,51.4,76.8,0,0,0,1,0,0,212,197209,0,0,0,1,0,0,0,0,0,0
456,200,114,48,50,2.309401077,131278.7673,2459,1,3529,3518,3,0,800.4802882,800.4802882,85.55555556,1139.777778,0,0,0,1,0,0,656,131278,0,0,0,3,0,0,0,0,0,0
0,0,0,0,0,0,0,357,0,4,4,4,0,2770.083102,5540.166205,0,0,0,0,0,2,0,0,0,0,0,0,7240,0,0,0,0,0,0,0
0,0,0,0,0,0,0,336,0,2,2,2,0,2958.579882,5917.159763,0,0,0,0,0,2,0,0,0,0,0,0,30408,0,0,0,0,0,0,0
0,0,0,0,0,0,0,322,0,1,1,1,0,3095.975232,6191.950464,0,0,0,0,0,2,0,0,0,0,0,0,14480,0,0,0,0,0,0,0
90,122,45,61,61,0,200378.0718,1045,4,9,9,9,0,1890.359168,1890.359168,51.4,76.8,0,0,0,1,0,0,212,200378,0,0,0,1,0,0,0,0,0,0
486,39854,0,0,675.4915254,641.0348684,1583886.293,2710,1,24922,3072,1,0,2277.27826,2316.541678,341.8644068,316138.6139,4,0,0,1,0,0,40340,1668527,0,0,14480,12,0,0,0,0,0,0
58,0,0,0,0,0,234.2516266,88977,3,188862,188859,3,0,24.23292689,12.11646345,5.8,149.5111111,4,0,0,0,0,0,0,0,0,0,16383,2,0,0,0,0,0,1
0,8192,0,0,910.2222222,690.1336425,2175.871046,3524049,1,3764224,3524188,2,0,1.593655551,2.390483327,512,471500.8,4,0,0,1,0,0,8192,34563,9,8192,5792,0,0,0,0,0,0,0
628,296,0,0,42.28571429,72.2166054,266359.1813,1882,3,2944,2285,6,0,1729.605074,2017.872586,66,13847.38462,4,0,0,1,0,0,924,410849,0,0,7240,2,0,0,0,0,0,0
0,0,0,0,0,0,0,42145,8,7,7,7,0,37.98333798,25.32222532,0,0,0,0,0,0,0,0,0,0,0,0,16383,0,0,0,0,0,0,1
0,0,0,0,0,0,0,360,0,2,2,2,0,2762.430939,5524.861878,0,0,0,0,0,2,0,0,0,0,0,0,8688,0,0,0,0,0,0,0
0,0,0,0,0,0,0,42741,6,1,1,1,0,42.55620966,28.37080644,0,0,0,0,0,0,0,0,0,0,0,0,16383,0,0,0,0,0,0,1
1750,518,0,0,39.84615385,28.23368601,2181.711143,166733,2,992449,247207,2,0,13.46735273,12.50539897,81,38268,4,0,0,0,0,0,2268,3148,0,0,16383,10,0,0,0,0,0,1
0,0,0,0,0,0,0,370,0,2,2,2,0,2688.172043,5376.344086,0,0,0,0,0,2,0,0,0,0,0,0,30408,0,0,0,0,0,0,0
1464,8754,0,0,71.17073171,203.5482263,13176.95001,117590,1,774896,118507,1,0,154.7498533,158.6185996,41.87704918,22036.84902,4,0,0,1,0,0,10218,13205,0,0,47784,58,0,0,0,0,0,0
0,0,0,0,0,0,0,316,0,4,4,4,0,3125,6250,0,0,0,0,0,2,0,0,0,0,0,0,14480,0,0,0,0,0,0,0
